step,agent_idx,junction_id,reward,episode_reward
0,0,J0,-1.5e-05,0.20155781086116925
0,1,J1,-1.5e-05,0.20155781086116925
0,2,J5,-1.5e-05,0.20155781086116925
0,3,J6,0.026677810861169257,0.20155781086116925
0,4,J7,-1.5e-05,0.20155781086116925
0,5,J10,0.074985,0.20155781086116925
0,6,J11,-1.5e-05,0.20155781086116925
0,7,J12,0.09998499999999999,0.20155781086116925
0,8,J22,-1.5e-05,0.20155781086116925
1,0,J0,-1.5e-05,0.6064228108611692
1,1,J1,-1.5e-05,0.6064228108611692
1,2,J5,-1.5e-05,0.6064228108611692
1,3,J6,0.029984999999999998,0.6064228108611692
1,4,J7,0.199985,0.6064228108611692
1,5,J10,-1.5e-05,0.6064228108611692
1,6,J11,0.074985,0.6064228108611692
1,7,J12,-1.5e-05,0.6064228108611692
1,8,J22,0.09998499999999999,0.6064228108611692
2,0,J0,-1.5e-05,1.0862878108611693
2,1,J1,0.299985,1.0862878108611693
2,2,J5,0.149985,1.0862878108611693
2,3,J6,0.029984999999999998,1.0862878108611693
2,4,J7,-1.5e-05,1.0862878108611693
2,5,J10,-1.5e-05,1.0862878108611693
2,6,J11,-1.5e-05,1.0862878108611693
2,7,J12,-1.5e-05,1.0862878108611693
2,8,J22,-1.5e-05,1.0862878108611693
3,0,J0,-1.5e-05,1.8661528108611694
3,1,J1,-1.5e-05,1.8661528108611694
3,2,J5,0.149985,1.8661528108611694
3,3,J6,0.029984999999999998,1.8661528108611694
3,4,J7,-1.5e-05,1.8661528108611694
3,5,J10,-1.5e-05,1.8661528108611694
3,6,J11,-1.5e-05,1.8661528108611694
3,7,J12,0.299985,1.8661528108611694
3,8,J22,0.299985,1.8661528108611694
4,0,J0,0.299985,2.9210178108611693
4,1,J1,0.299985,2.9210178108611693
4,2,J5,-1.5e-05,2.9210178108611693
4,3,J6,0.229985,2.9210178108611693
4,4,J7,-1.5e-05,2.9210178108611693
4,5,J10,0.224985,2.9210178108611693
4,6,J11,-1.5e-05,2.9210178108611693
4,7,J12,-1.5e-05,2.9210178108611693
4,8,J22,-1.5e-05,2.9210178108611693
5,0,J0,-1.5e-05,4.350882810861169
5,1,J1,-1.5e-05,4.350882810861169
5,2,J5,0.149985,4.350882810861169
5,3,J6,0.229985,4.350882810861169
5,4,J7,-1.5e-05,4.350882810861169
5,5,J10,0.224985,4.350882810861169
5,6,J11,0.224985,4.350882810861169
5,7,J12,0.299985,4.350882810861169
5,8,J22,0.299985,4.350882810861169
6,0,J0,-1.5e-05,4.830747810861169
6,1,J1,-1.5e-05,4.830747810861169
6,2,J5,-1.5e-05,4.830747810861169
6,3,J6,0.029984999999999998,4.830747810861169
6,4,J7,-1.5e-05,4.830747810861169
6,5,J10,0.149985,4.830747810861169
6,6,J11,0.299985,4.830747810861169
6,7,J12,-1.5e-05,4.830747810861169
6,8,J22,-1.5e-05,4.830747810861169
7,0,J0,-1.5e-05,5.3856128108611685
7,1,J1,-1.5e-05,5.3856128108611685
7,2,J5,-1.5e-05,5.3856128108611685
7,3,J6,0.029984999999999998,5.3856128108611685
7,4,J7,0.299985,5.3856128108611685
7,5,J10,0.224985,5.3856128108611685
7,6,J11,-1.5e-05,5.3856128108611685
7,7,J12,-1.5e-05,5.3856128108611685
7,8,J22,-1.5e-05,5.3856128108611685
8,0,J0,0.299985,6.740477810861169
8,1,J1,-1.5e-05,6.740477810861169
8,2,J5,-1.5e-05,6.740477810861169
8,3,J6,0.329985,6.740477810861169
8,4,J7,-1.5e-05,6.740477810861169
8,5,J10,0.224985,6.740477810861169
8,6,J11,-1.5e-05,6.740477810861169
8,7,J12,0.199985,6.740477810861169
8,8,J22,0.299985,6.740477810861169
9,0,J0,0.299985,7.595342810861169
9,1,J1,-1.5e-05,7.595342810861169
9,2,J5,-1.5e-05,7.595342810861169
9,3,J6,0.029984999999999998,7.595342810861169
9,4,J7,-1.5e-05,7.595342810861169
9,5,J10,0.224985,7.595342810861169
9,6,J11,-1.5e-05,7.595342810861169
9,7,J12,-1.5e-05,7.595342810861169
9,8,J22,0.299985,7.595342810861169
10,0,J0,-1.5e-05,8.300207810861169
10,1,J1,-1.5e-05,8.300207810861169
10,2,J5,0.149985,8.300207810861169
10,3,J6,0.329985,8.300207810861169
10,4,J7,-1.5e-05,8.300207810861169
10,5,J10,0.224985,8.300207810861169
10,6,J11,-1.5e-05,8.300207810861169
10,7,J12,-1.5e-05,8.300207810861169
10,8,J22,-1.5e-05,8.300207810861169
11,0,J0,0.299985,9.230072810861168
11,1,J1,-1.5e-05,9.230072810861168
11,2,J5,-1.5e-05,9.230072810861168
11,3,J6,0.329985,9.230072810861168
11,4,J7,-1.5e-05,9.230072810861168
