step,fixed_waiting,fixed_queue,fixed_throughput,fixed_vehicles,mappo_waiting,mappo_queue,mappo_throughput,mappo_vehicles
0,0.00,0.09,0,7,0.00,0.09,0,7
1,0.00,0.00,0,7,0.00,0.00,0,7
2,0.00,0.00,0,7,0.00,0.00,0,7
3,0.00,0.03,0,10,0.00,0.03,0,10
4,0.00,0.00,0,10,0.00,0.00,0,10
5,0.00,0.00,0,10,0.00,0.00,0,10
6,0.00,0.01,0,11,0.00,0.01,0,11
7,0.00,0.00,0,11,0.00,0.00,0,11
8,0.00,0.00,0,11,0.00,0.00,0,11
9,0.00,0.01,0,12,0.00,0.01,0,12
10,0.00,0.00,0,12,0.00,0.00,0,12
11,0.00,0.01,0,13,0.00,0.01,0,13
12,2.00,0.02,0,13,2.00,0.02,0,13
13,4.00,0.02,0,13,4.00,0.02,0,13
14,10.00,0.05,0,13,8.00,0.04,0,13
15,16.00,0.05,0,13,14.00,0.05,0,13
16,22.00,0.06,0,14,22.00,0.08,0,14
17,28.00,0.05,0,14,32.00,0.09,0,14
18,36.00,0.07,0,14,34.00,0.07,0,14
19,44.00,0.07,0,14,42.00,0.07,0,14
20,52.00,0.07,0,14,54.00,0.11,0,14
21,62.00,0.09,0,14,66.00,0.11,0,14
22,72.00,0.09,0,14,82.00,0.14,0,14
23,82.00,0.09,0,14,98.00,0.14,0,14
24,92.00,0.09,0,14,114.00,0.14,0,14
25,104.00,0.11,0,14,130.00,0.14,0,14
26,116.00,0.11,0,14,146.00,0.14,0,14
27,130.00,0.12,0,14,164.00,0.16,0,14
28,144.00,0.12,0,14,156.00,0.14,0,14
29,158.00,0.12,0,14,146.00,0.12,0,14
30,172.00,0.12,0,14,138.00,0.11,0,14
31,186.00,0.12,0,14,130.00,0.09,0,14
32,38.00,0.02,0,14,130.00,0.09,0,14
33,40.00,0.02,0,14,138.00,0.09,0,14
34,44.00,0.04,0,14,148.00,0.09,0,14
35,50.00,0.05,0,14,160.00,0.11,0,14
36,56.00,0.05,0,14,172.00,0.11,0,14
37,62.00,0.05,0,14,185.00,0.12,0,14
38,70.00,0.07,0,14,200.00,0.13,0,14
39,78.00,0.07,0,14,215.00,0.13,0,14
40,86.00,0.07,0,14,230.00,0.13,0,14
41,94.00,0.07,0,14,240.00,0.12,0,14
42,104.00,0.09,0,14,258.00,0.16,0,14
43,116.00,0.11,0,14,244.00,0.14,0,14
44,128.00,0.11,0,14,254.00,0.12,0,14
45,140.00,0.11,0,14,178.00,0.09,0,14
46,154.00,0.12,0,14,188.00,0.09,0,14
47,172.00,0.16,0,14,198.00,0.09,0,14
48,190.00,0.16,0,14,210.00,0.11,0,14
49,208.00,0.16,0,14,222.00,0.11,0,14
50,226.00,0.16,0,14,234.00,0.11,0,14
51,245.00,0.17,0,14,246.00,0.11,0,14
52,264.00,0.17,0,14,258.00,0.11,0,14
53,284.00,0.18,1,13,270.00,0.11,1,13
54,305.00,0.19,1,13,201.00,0.10,1,13
55,326.00,0.19,1,13,212.00,0.10,1,13
56,347.00,0.19,1,13,223.00,0.10,1,13
57,368.00,0.19,1,13,234.00,0.10,3,11
58,389.00,0.19,1,13,245.00,0.10,3,11
59,401.00,0.18,1,13,256.00,0.10,3,11
60,414.00,0.17,1,13,269.00,0.12,3,11
61,435.00,0.19,1,13,250.00,0.08,3,11
62,406.00,0.17,1,13,259.00,0.08,3,11
63,425.00,0.17,1,13,268.00,0.08,3,11
64,444.00,0.17,1,13,277.00,0.08,3,11
65,463.00,0.17,1,13,134.00,0.04,4,10
66,482.00,0.17,1,13,2.00,0.02,4,10
67,501.00,0.17,1,13,4.00,0.02,5,9
68,520.00,0.17,1,13,6.00,0.02,5,9
69,539.00,0.17,1,13,8.00,0.02,5,9
70,558.00,0.17,1,13,10.00,0.02,5,9
71,577.00,0.17,1,13,12.00,0.02,5,9
72,596.00,0.17,1,13,14.00,0.02,5,9
73,615.00,0.17,1,13,16.00,0.02,6,8
74,634.00,0.17,2,12,18.00,0.02,6,8
75,653.00,0.17,2,12,20.00,0.02,6,8
76,672.00,0.17,2,12,22.00,0.02,6,8
77,691.00,0.17,3,11,24.00,0.02,6,8
78,710.00,0.17,3,11,26.00,0.02,6,8
79,729.00,0.17,3,11,28.00,0.02,6,8
80,748.00,0.17,3,11,31.00,0.03,6,8
81,767.00,0.17,3,11,32.00,0.02,6,8
82,786.00,0.17,4,10,34.00,0.02,6,8
83,805.00,0.17,4,10,36.00,0.02,7,7
84,824.00,0.17,4,10,38.00,0.02,8,6
85,843.00,0.17,4,10,41.00,0.03,8,6
86,862.00,0.17,4,10,44.00,0.03,8,6
87,881.00,0.17,4,10,47.00,0.03,8,6
88,900.00,0.17,4,10,50.00,0.03,8,6
89,919.00,0.17,4,10,53.00,0.03,8,6
90,938.00,0.18,4,11,8.00,0.04,9,6
91,957.00,0.17,4,11,0.00,0.00,9,6
92,250.00,0.04,4,11,0.00,0.00,9,6
93,160.00,0.02,4,11,0.00,0.00,9,6
94,162.00,0.02,4,11,0.00,0.00,9,6
95,164.00,0.02,4,11,0.00,0.00,9,6
96,166.00,0.02,4,11,0.00,0.00,9,6
97,168.00,0.02,4,11,0.00,0.00,9,6
98,170.00,0.02,4,11,0.00,0.00,9,6
99,172.00,0.02,4,11,0.00,0.00,9,6
100,174.00,0.02,4,11,0.00,0.00,9,6
101,176.00,0.02,4,11,2.00,0.02,9,6
102,180.00,0.04,4,11,4.00,0.02,9,6
103,186.00,0.06,4,12,6.00,0.03,9,7
104,192.00,0.05,6,10,8.00,0.02,9,7
105,198.00,0.05,8,8,10.00,0.02,9,7
106,204.00,0.05,9,7,13.00,0.03,10,6
107,210.00,0.05,9,7,16.00,0.03,11,5
