step,fixed_waiting,fixed_queue,fixed_throughput,fixed_vehicles,mappo_waiting,mappo_queue,mappo_throughput,mappo_vehicles
0,0.00,0.01,0,1,0.00,0.01,0,1
1,0.00,0.00,0,1,0.00,0.00,0,1
2,0.00,0.00,0,1,0.00,0.00,0,1
3,0.00,0.00,0,1,0.00,0.00,0,1
4,0.00,0.00,0,1,0.00,0.00,0,1
5,0.00,0.00,0,1,0.00,0.00,0,1
6,0.00,0.00,0,1,0.00,0.00,0,1
7,0.00,0.00,0,1,0.00,0.00,0,1
8,0.00,0.00,0,1,0.00,0.00,0,1
9,0.00,0.00,0,1,0.00,0.00,0,1
10,0.00,0.00,0,1,0.00,0.00,0,1
11,0.00,0.00,0,1,0.00,0.00,0,1
12,0.00,0.00,0,1,0.00,0.00,0,1
13,0.00,0.00,0,1,0.00,0.00,0,1
14,0.00,0.00,0,1,0.00,0.00,0,1
15,0.00,0.00,0,1,0.00,0.00,0,1
16,0.00,0.00,0,1,0.00,0.00,0,1
17,0.00,0.00,0,1,0.00,0.00,0,1
18,0.00,0.00,0,1,2.00,0.02,0,1
19,0.00,0.00,0,1,4.00,0.02,0,1
20,0.00,0.00,0,1,6.00,0.02,0,1
21,0.00,0.00,0,1,8.00,0.02,0,1
22,0.00,0.00,0,1,10.00,0.02,0,1
23,0.00,0.00,0,1,12.00,0.02,0,1
24,0.00,0.00,0,1,14.00,0.02,0,1
25,2.00,0.02,0,1,16.00,0.02,0,1
26,4.00,0.02,0,1,18.00,0.02,0,1
27,6.00,0.02,0,1,20.00,0.02,0,1
28,8.00,0.02,0,1,22.00,0.02,0,1
29,10.00,0.02,0,1,24.00,0.02,0,1
30,12.00,0.02,0,1,26.00,0.02,0,1
31,14.00,0.02,0,1,28.00,0.02,0,1
32,0.00,0.00,0,1,30.00,0.02,0,1
33,0.00,0.00,0,1,32.00,0.02,0,1
34,0.00,0.00,0,1,34.00,0.02,0,1
35,0.00,0.00,0,1,36.00,0.02,0,1
36,0.00,0.00,0,1,38.00,0.02,0,1
37,0.00,0.00,0,1,40.00,0.02,0,1
38,0.00,0.00,0,1,0.00,0.00,0,1
39,0.00,0.00,0,1,0.00,0.00,0,1
40,0.00,0.00,0,1,0.00,0.00,0,1
41,0.00,0.00,0,1,0.00,0.00,0,1
42,0.00,0.00,0,1,0.00,0.00,0,1
43,0.00,0.00,0,1,0.00,0.00,0,1
44,0.00,0.00,0,1,0.00,0.00,0,1
45,0.00,0.00,0,1,0.00,0.00,0,1
46,0.00,0.00,0,1,0.00,0.00,0,1
47,0.00,0.00,0,1,0.00,0.00,0,1
48,0.00,0.00,0,1,0.00,0.00,0,1
49,0.00,0.00,0,1,0.00,0.00,0,1
50,0.00,0.00,0,1,0.00,0.00,0,1
51,0.00,0.00,0,1,0.00,0.00,0,1
52,0.00,0.00,0,1,2.00,0.02,0,1
53,0.00,0.00,0,1,4.00,0.02,0,1
54,0.00,0.00,0,1,0.00,0.00,0,1
55,1.00,0.01,0,1,0.00,0.00,0,1
56,2.00,0.01,0,1,0.00,0.00,0,1
57,3.00,0.01,0,1,0.00,0.00,0,1
58,4.00,0.01,0,1,0.00,0.00,0,1
59,0.00,0.00,0,1,0.00,0.00,0,1
60,0.00,0.00,0,1,0.00,0.00,0,1
61,0.00,0.00,0,1,0.00,0.00,0,1
62,0.00,0.00,0,1,0.00,0.00,0,1
63,0.00,0.00,0,1,0.00,0.00,0,1
64,0.00,0.00,0,1,0.00,0.00,0,1
65,0.00,0.00,0,1,0.00,0.00,0,1
66,0.00,0.00,0,1,0.00,0.00,0,1
67,0.00,0.00,0,1,1.00,0.01,0,1
68,0.00,0.00,0,1,2.00,0.01,0,1
69,0.00,0.00,0,1,3.00,0.01,0,1
70,0.00,0.00,0,1,4.00,0.01,0,1
71,0.00,0.00,0,1,0.00,0.00,0,1
72,0.00,0.00,0,1,0.00,0.00,0,1
73,0.00,0.00,0,1,0.00,0.00,0,1
74,0.00,0.00,0,1,0.00,0.00,0,1
75,0.00,0.00,0,1,0.00,0.00,0,1
76,0.00,0.00,0,1,0.00,0.00,0,1
77,0.00,0.00,0,1,0.00,0.00,0,1
78,0.00,0.00,0,1,0.00,0.00,0,1
79,0.00,0.00,0,1,0.00,0.00,0,1
80,0.00,0.00,0,1,0.00,0.00,0,1
81,0.00,0.00,1,0,0.00,0.00,0,1
82,0.00,0.00,1,0,0.00,0.00,0,1
83,0.00,0.00,1,0,0.00,0.00,0,1
84,0.00,0.00,1,0,0.00,0.00,0,1
85,0.00,0.00,1,0,0.00,0.00,0,1
86,0.00,0.00,1,0,0.00,0.00,0,1
87,0.00,0.00,1,0,0.00,0.00,0,1
88,0.00,0.00,1,0,0.00,0.00,0,1
89,0.00,0.00,1,0,0.00,0.00,0,1
90,0.00,0.00,1,0,0.00,0.00,0,1
91,0.00,0.00,1,0,0.00,0.00,0,1
92,0.00,0.00,1,0,0.00,0.00,0,1
93,0.00,0.00,1,0,0.00,0.00,0,1
94,0.00,0.00,1,0,0.00,0.00,0,1
95,0.00,0.00,1,0,0.00,0.00,0,1
96,0.00,0.00,1,0,0.00,0.00,0,1
97,0.00,0.00,1,0,0.00,0.00,0,1
98,0.00,0.00,1,0,0.00,0.00,0,1
99,0.00,0.00,1,0,0.00,0.00,1,0
100,0.00,0.00,1,0,0.00,0.00,1,0
101,0.00,0.00,1,0,0.00,0.00,1,0
102,0.00,0.00,1,0,0.00,0.00,1,0
103,0.00,0.00,1,0,0.00,0.00,1,0
104,0.00,0.00,1,0,0.00,0.00,1,0
105,0.00,0.00,1,0,0.00,0.00,1,0
106,0.00,0.00,1,0,0.00,0.00,1,0
107,0.00,0.00,1,0,0.00,0.00,1,0
108,0.00,0.00,1,0,0.00,0.00,1,0
109,0.00,0.00,1,0,0.00,0.00,1,0
110,0.00,0.00,1,0,0.00,0.00,1,0
111,0.00,0.00,1,0,0.00,0.00,1,0
112,0.00,0.00,1,0,0.00,0.00,1,0
113,0.00,0.00,1,0,0.00,0.00,1,0
114,0.00,0.00,1,0,0.00,0.00,1,0
115,0.00,0.00,1,0,0.00,0.00,1,0
116,0.00,0.00,1,0,0.00,0.00,1,0
117,0.00,0.00,1,0,0.00,0.00,1,0
118,0.00,0.00,1,0,0.00,0.00,1,0
119,0.00,0.00,1,0,0.00,0.00,1,0
120,0.00,0.00,1,0,0.00,0.00,1,0
121,0.00,0.00,1,0,0.00,0.00,1,0
122,0.00,0.00,1,0,0.00,0.00,1,0
123,0.00,0.00,1,0,0.00,0.00,1,0
124,0.00,0.00,1,0,0.00,0.00,1,0
125,0.00,0.00,1,0,0.00,0.00,1,0
126,0.00,0.00,1,0,0.00,0.00,1,0
127,0.00,0.00,1,0,0.00,0.00,1,0
128,0.00,0.00,1,0,0.00,0.00,1,0
129,0.00,0.00,1,0,0.00,0.00,1,0
130,0.00,0.00,1,0,0.00,0.00,1,0
131,0.00,0.00,1,0,0.00,0.00,1,0
132,0.00,0.00,1,0,0.00,0.00,1,0
133,0.00,0.00,1,0,0.00,0.00,1,0
134,0.00,0.00,1,0,0.00,0.00,1,0
135,0.00,0.00,1,0,0.00,0.00,1,0
136,0.00,0.00,1,0,0.00,0.00,1,0
137,0.00,0.00,1,0,0.00,0.00,1,0
138,0.00,0.00,1,0,0.00,0.00,1,0
139,0.00,0.00,1,0,0.00,0.00,1,0
140,0.00,0.00,1,0,0.00,0.00,1,0
141,0.00,0.00,1,0,0.00,0.00,1,0
142,0.00,0.00,1,0,0.00,0.00,1,0
143,0.00,0.00,1,0,0.00,0.00,1,0
144,0.00,0.00,1,0,0.00,0.00,1,0
145,0.00,0.00,1,0,0.00,0.00,1,0
146,0.00,0.00,1,0,0.00,0.00,1,0
147,0.00,0.00,1,0,0.00,0.00,1,0
148,0.00,0.00,1,0,0.00,0.00,1,0
149,0.00,0.00,1,0,0.00,0.00,1,0
150,0.00,0.00,1,0,0.00,0.00,1,0
151,0.00,0.00,1,0,0.00,0.00,1,0
152,0.00,0.00,1,0,0.00,0.00,1,0
153,0.00,0.00,1,0,0.00,0.00,1,0
154,0.00,0.00,1,0,0.00,0.00,1,0
155,0.00,0.00,1,0,0.00,0.00,1,0
156,0.00,0.00,1,0,0.00,0.00,1,0
157,0.00,0.00,1,0,0.00,0.00,1,0
158,0.00,0.00,1,0,0.00,0.00,1,0
159,0.00,0.00,1,0,0.00,0.00,1,0
160,0.00,0.00,1,0,0.00,0.00,1,0
161,0.00,0.00,1,0,0.00,0.00,1,0
162,0.00,0.00,1,0,0.00,0.00,1,0
163,0.00,0.00,1,0,0.00,0.00,1,0
164,0.00,0.00,1,0,0.00,0.00,1,0
165,0.00,0.00,1,0,0.00,0.00,1,0
166,0.00,0.00,1,0,0.00,0.00,1,0
167,0.00,0.00,1,0,0.00,0.00,1,0
168,0.00,0.00,1,0,0.00,0.00,1,0
169,0.00,0.00,1,0,0.00,0.00,1,0
170,0.00,0.00,1,0,0.00,0.00,1,0
171,0.00,0.00,1,0,0.00,0.00,1,0
172,0.00,0.00,1,0,0.00,0.00,1,0
173,0.00,0.00,1,0,0.00,0.00,1,0
174,0.00,0.00,1,0,0.00,0.00,1,0
175,0.00,0.00,1,0,0.00,0.00,1,0
176,0.00,0.00,1,0,0.00,0.00,1,0
177,0.00,0.00,1,0,0.00,0.00,1,0
